DATE_TIME,TEMPERATURE,HUMIDITY,WIND,PRECIPITATION
3/16/2021 17:00,9.01621,86.7,3.17828,0.02741
3/16/2021 18:00,8.82731,86.93269,3.27154,0.11
3/16/2021 19:00,8.73542,85.6339,2.31034,0.11797
3/16/2021 20:00,8.72836,83.01273,1.01145,0.01055
3/16/2021 21:00,8.7131,83.11724,0,0.02931
3/16/2021 22:00,7.5444,85.01915,0,0.08809
3/16/2021 23:00,6.75631,86.4537,0,0.1713
3/17/2021 0:00,6.89933,83.51765,0,0
3/17/2021 1:00,7.29213,83.5918,0,0
3/17/2021 2:00,7.66204,79.13388,0,0.02122
3/17/2021 3:00,7.73134,76.94746,0,0.16102
3/17/2021 4:00,7.1886,81.96481,0,0.30058
3/17/2021 5:00,6.47538,89.09483,0,0.17603
3/17/2021 6:00,6.98937,90.58393,0,0.11911
3/17/2021 7:00,7.75435,83.505,0,0.01733
3/17/2021 8:00,7.99591,81.24737,0,0.03193
3/17/2021 9:00,8.256,80.8195,0,0
3/17/2021 10:00,8.67804,80.03745,0,0
3/17/2021 11:00,8.85918,76.26508,0,0.01934
3/17/2021 12:00,9.33348,72.87087,0,0.005
3/17/2021 13:00,8.87967,76.23984,0,0.18902
3/17/2021 14:00,8.47143,82.85,0,0.35054
3/17/2021 15:00,7.39277,90.77833,0,0.191
3/17/2021 16:00,6.85047,93.6717,0,0.19679
3/17/2021 17:00,6.86427,92.385,0,0.25283
3/17/2021 18:00,6.83227,91.34167,0,0.08375
3/17/2021 19:00,6.6253,88.24667,0,0
3/17/2021 20:00,6.62867,86.31833,0,0
3/17/2021 21:00,6.64422,86.32542,0,0.17441
3/17/2021 22:00,6.42183,87.15577,0,0.11442
3/17/2021 23:00,6.26266,88.90492,0,0.11197
3/18/2021 0:00,6.21453,88.39216,0,0.02235
3/18/2021 1:00,6.12489,87.26393,0,0.07754
3/18/2021 2:00,6.09698,88.65283,0,0.36774
3/18/2021 3:00,6.28402,90.56949,0,0.37746
3/18/2021 4:00,6.71072,87.38868,0,0.12509
